seed,step,phase,residual_vision,residual_force,residual_proprio,eig_vision,eig_force,eig_proprio,pick,var_vision_post,var_force_post,var_proprio_post
0,11,approach,0.3702378824610249,-0.1255691258145711,0.7290103417684793,0.6445464222308439,0.010135702596441316,0.2819120883440886,vision,0.051760374764954716,0.769967814041115,0.7017031594553729
0,12,approach,2.522288817812575,0.526041505893748,0.178690205329478,2.4097834557912945,0.15351848066249638,0.022249457189652266,vision,0.03893817288881871,0.769967814041115,0.7017031594553729
0,13,approach,-0.00623578636811652,0.26258997403053436,-0.6441807318747772,0.0004990684677856286,0.04288409801481009,0.23229881242389191,vision,0.03893811393214987,0.769967814041115,0.7017031594553729
0,14,approach,0.601809172751122,0.2784170895851474,-0.5920589833785945,1.166134054814426,0.04796155798881589,0.2025815937832855,vision,0.03839662993576594,0.769967814041115,0.7017031594553729
0,15,approach,-0.6110093460005097,-0.46792076310914565,0.869683938565067,1.1861978978758,0.12513117642222377,0.3656735062739394,vision,0.03785400388850325,0.769967814041115,0.7017031594553729
0,16,approach,0.46055748124428286,-0.10342901818956961,0.7917364394010611,0.9437964707936566,0.006898943987037796,0.3191663735614444,vision,0.03755248247720694,0.769967814041115,0.7017031594553729
0,17,approach,0.8866936719548812,-0.8814039522586603,0.026014487129943253,1.544080885696472,0.3488105921577724,0.0004819897100952164,vision,0.036475551818072466,0.769967814041115,0.7017031594553729
0,18,approach,1.4055462061790374,-0.24716281788304034,0.9110056816641616,2.005130023216816,0.038174999265652085,0.3902901437435761,vision,0.03402380823520114,0.769967814041115,0.7017031594553729
0,19,approach,-0.9261392305413066,0.37401999524560886,0.024527306912655828,1.63306695880236,0.08347033830453618,0.00042847965307502847,vision,0.03305903411627251,0.769967814041115,0.7017031594553729
0,20,approach,0.26392686951745176,-0.2532776360768907,-0.18878175261640412,0.5668385876925923,0.04001270790607773,0.024770484636737193,vision,0.032983080476906124,0.769967814041115,0.7017031594553729
0,21,approach,-1.788752232941251,0.25216459630729277,0.29058290620640287,2.2925263915115006,0.03967536502991487,0.05681322238184858,vision,0.029834529130566473,0.769967814041115,0.7017031594553729
0,22,approach,-1.0564481077639034,0.6756429809774693,-0.14369385390433315,1.824147083475025,0.23276977833049411,0.014500410286109131,vision,0.028873117856457586,0.769967814041115,0.7017031594553729
0,23,approach,-0.6059001860556354,-0.29419331693691003,0.12489268577933342,1.3092366553440034,0.05326303046859866,0.010992784897586972,vision,0.028570279869961655,0.769967814041115,0.7017031594553729
0,24,approach,0.2254134074014825,-0.23421152964933467,-0.6706098570383345,0.5109490656357929,0.03440996381457213,0.2476207099747302,vision,0.028528864792942466,0.769967814041115,0.7017031594553729
0,25,approach,0.7037559898248119,0.395885213314322,-0.08214729631264535,1.455098075092667,0.0926367651907316,0.004785454230135005,vision,0.028131380705274323,0.769967814041115,0.7017031594553729
0,26,approach,1.2222590136703892,-0.5121575778858293,-0.3565340475296361,1.995463342293991,0.1465849621658303,0.08324607971123679,vision,0.026996813936846584,0.769967814041115,0.7017031594553729
0,27,approach,-3.1501976430044283,0.15454783902652236,-0.2908204182047516,2.9548417719643734,0.015274700405461372,0.05690104252858724,vision,0.021292382370084035,0.769967814041115,0.7017031594553729
0,28,approach,-0.10598213670915235,0.08084575801758395,0.3470859683535041,0.21182360973312606,0.004226443753266088,0.07921947298039396,vision,0.021287291289142547,0.769967814041115,0.7017031594553729
0,29,approach,1.9893748312366826,0.290437515579106,0.421866331151634,2.6153251567879887,0.0519795911076776,0.1130206648195915,vision,0.01963325178635462,0.769967814041115,0.7017031594553729
0,30,approach,1.1026235103882172,0.33763147223143686,0.03779680537144256,2.070967516397215,0.06903314732578178,0.0010169159173306784,vision,0.01917553769430374,0.769967814041115,0.7017031594553729
0,31,approach,-0.18906314005181948,-0.3078058560706823,-0.7113708842577068,0.5261248164374607,0.058024044546772936,0.271502670786295,vision,0.019162403263425977,0.769967814041115,0.7017031594553729
0,32,approach,-0.7959692358066995,-0.4119217752045855,-0.5215005400357827,1.7641062473174958,0.09957797251567824,0.16377891808819378,vision,0.018932549488131747,0.769967814041115,0.7017031594553729
0,33,approach,0.5021407288384822,0.5289829879067333,-0.006957334262046867,1.3307617269108787,0.1549987429886488,3.448953446492941e-05,vision,0.018842599560846777,0.769967814041115,0.7017031594553729
